Dystans do przejscia: 1000, dlugosc kroku: 5
8606: (x,y)=(142.509,387.47)
8607: (x,y)=(138.179,389.97)
8608: (x,y)=(143.03,391.18)
8609: (x,y)=(147.598,393.214)
8610: (x,y)=(152.597,393.301)
8611: (x,y)=(147.6,393.127)
8612: (x,y)=(149.228,388.399)
8613: (x,y)=(145.235,385.39)
8614: (x,y)=(146.275,390.281)
8615: (x,y)=(149.685,386.624)
8616: (x,y)=(153.03,382.908)
8617: (x,y)=(157.837,381.53)
8618: (x,y)=(158.619,386.468)
8619: (x,y)=(161.765,390.354)
8620: (x,y)=(165.596,393.568)
8621: (x,y)=(167.387,388.9)
8622: (x,y)=(172.194,390.278)
8623: (x,y)=(176.339,393.074)
8624: (x,y)=(173.125,389.244)
8625: (x,y)=(171.252,384.608)
8626: (x,y)=(173.125,379.972)
8627: (x,y)=(173.387,384.965)
8628: (x,y)=(176.732,388.681)
8629: (x,y)=(178.766,384.113)
8630: (x,y)=(175.109,380.703)
8631: (x,y)=(174.413,385.655)
8632: (x,y)=(179.195,384.193)
8633: (x,y)=(184.024,382.899)
8634: (x,y)=(187.798,386.179)
8635: (x,y)=(186.336,381.398)
8636: (x,y)=(181.373,380.788)
8637: (x,y)=(179.026,376.373)
8638: (x,y)=(178.852,371.376)
8639: (x,y)=(176.504,366.962)
8640: (x,y)=(171.516,367.311)
8641: (x,y)=(174.99,370.907)
8642: (x,y)=(175.686,365.956)
8643: (x,y)=(173.975,370.654)
8644: (x,y)=(174.15,365.657)
8645: (x,y)=(172.772,360.851)
8646: (x,y)=(177.012,358.202)
8647: (x,y)=(177.361,353.214)
8648: (x,y)=(180.834,349.617)
8649: (x,y)=(180.921,344.618)
8650: (x,y)=(181.357,349.599)
8651: (x,y)=(179.484,354.235)
8652: (x,y)=(184.483,354.322)
8653: (x,y)=(185.179,359.273)
8654: (x,y)=(189.275,356.405)
8655: (x,y)=(184.445,355.111)
8656: (x,y)=(185.314,360.035)
8657: (x,y)=(180.32,359.774)
8658: (x,y)=(185.229,360.728)
8659: (x,y)=(186.268,355.837)
8660: (x,y)=(183.472,351.692)
8661: (x,y)=(181.359,347.16)
8662: (x,y)=(181.795,342.179)
8663: (x,y)=(176.943,343.389)
8664: (x,y)=(180.417,339.792)
8665: (x,y)=(176.131,342.367)
8666: (x,y)=(178.244,337.836)
8667: (x,y)=(182.88,335.963)
8668: (x,y)=(186.873,332.954)
8669: (x,y)=(191.703,331.66)
8670: (x,y)=(192.225,336.632)
8671: (x,y)=(187.623,334.679)
8672: (x,y)=(189.496,330.043)
8673: (x,y)=(185.351,327.247)
8674: (x,y)=(182.927,322.874)
8675: (x,y)=(187.889,323.483)
8676: (x,y)=(192.617,325.111)
8677: (x,y)=(189.47,328.996)
8678: (x,y)=(186.97,333.327)
8679: (x,y)=(191.878,334.281)
8680: (x,y)=(195.224,330.565)
8681: (x,y)=(197.874,334.805)
8682: (x,y)=(196.001,330.169)
8683: (x,y)=(194.047,325.567)
8684: (x,y)=(198.615,323.533)
8685: (x,y)=(200.962,319.118)
8686: (x,y)=(198.615,314.704)
8687: (x,y)=(202.988,317.128)
8688: (x,y)=(207.228,319.777)
8689: (x,y)=(206.879,314.789)
8690: (x,y)=(211.373,316.981)
8691: (x,y)=(206.592,318.443)
8692: (x,y)=(209.937,314.727)
8693: (x,y)=(205.944,317.736)
8694: (x,y)=(203.52,313.363)
8695: (x,y)=(200.11,317.02)
8696: (x,y)=(198.648,312.239)
8697: (x,y)=(200.11,317.02)
8698: (x,y)=(196.117,314.011)
8699: (x,y)=(198.151,309.443)
8700: (x,y)=(198.586,304.462)
8701: (x,y)=(196.473,308.994)
8702: (x,y)=(195.264,304.142)
8703: (x,y)=(191.667,300.669)
8704: (x,y)=(196.122,302.939)
8705: (x,y)=(196.99,298.015)
8706: (x,y)=(195.117,302.651)
8707: (x,y)=(190.145,302.128)
8708: (x,y)=(195.142,302.303)
8709: (x,y)=(193.029,306.834)
8710: (x,y)=(197.359,309.334)
8711: (x,y)=(194.35,305.341)
8712: (x,y)=(190.41,302.263)
8713: (x,y)=(187.834,297.977)
8714: (x,y)=(188.183,292.989)
8715: (x,y)=(183.99,295.712)
8716: (x,y)=(185.782,300.38)
8717: (x,y)=(183.828,304.983)
8718: (x,y)=(186.478,300.743)
8719: (x,y)=(190.718,298.093)
8720: (x,y)=(187.779,302.138)
8721: (x,y)=(190.203,297.765)
8722: (x,y)=(185.264,298.547)
8723: (x,y)=(180.356,299.501)
8724: (x,y)=(182.148,294.833)
8725: (x,y)=(177.151,295.008)
8726: (x,y)=(172.279,293.883)
8727: (x,y)=(175.218,297.928)
8728: (x,y)=(171.622,294.455)
8729: (x,y)=(167.848,297.735)
8730: (x,y)=(172.829,298.171)
8731: (x,y)=(168.684,300.967)
8732: (x,y)=(166.571,296.435)
8733: (x,y)=(169.439,292.34)
8734: (x,y)=(172.162,288.146)
8735: (x,y)=(170.452,283.448)
8736: (x,y)=(165.884,285.481)
8737: (x,y)=(167.918,290.049)
8738: (x,y)=(172.332,292.397)
8739: (x,y)=(168.392,295.475)
8740: (x,y)=(164.199,298.198)
8741: (x,y)=(168.192,295.189)
8742: (x,y)=(173.165,294.666)
8743: (x,y)=(178.128,295.276)
8744: (x,y)=(180.397,290.821)
8745: (x,y)=(183.743,287.105)
8746: (x,y)=(180.027,290.451)
8747: (x,y)=(175.533,292.642)
8748: (x,y)=(171.877,289.232)
8749: (x,y)=(176.683,290.611)
8750: (x,y)=(178.637,295.213)
8751: (x,y)=(174.751,292.067)
8752: (x,y)=(178.408,295.477)
8753: (x,y)=(178.495,300.476)
8754: (x,y)=(173.665,301.77)
8755: (x,y)=(177.81,298.974)
8756: (x,y)=(182.184,301.398)
8757: (x,y)=(186.424,304.048)
8758: (x,y)=(187.463,299.157)
8759: (x,y)=(185.51,303.759)
8760: (x,y)=(188.588,299.819)
8761: (x,y)=(192.633,302.758)
8762: (x,y)=(190.441,307.252)
8763: (x,y)=(187.227,303.422)
8764: (x,y)=(186.103,298.55)
8765: (x,y)=(190.148,301.489)
8766: (x,y)=(185.616,303.602)
8767: (x,y)=(190.422,304.98)
8768: (x,y)=(194.616,302.257)
8769: (x,y)=(192.346,306.712)
8770: (x,y)=(197.014,308.504)
8771: (x,y)=(199.514,312.834)
8772: (x,y)=(195.099,310.487)
8773: (x,y)=(200.05,309.791)
8774: (x,y)=(204.958,310.745)
8775: (x,y)=(205.998,305.854)
8776: (x,y)=(207.871,310.49)
8777: (x,y)=(202.92,311.186)
8778: (x,y)=(204.953,315.754)
8779: (x,y)=(200.713,313.104)
8780: (x,y)=(195.862,314.314)
8781: (x,y)=(200.813,313.618)
8782: (x,y)=(197.156,310.208)
8783: (x,y)=(201.759,312.161)
8784: (x,y)=(197.766,315.171)
8785: (x,y)=(193.88,312.024)
8786: (x,y)=(198.661,310.562)
8787: (x,y)=(196.086,306.276)
8788: (x,y)=(192.94,302.391)
8789: (x,y)=(196.285,298.675)
8790: (x,y)=(201.258,299.197)
8791: (x,y)=(201.345,294.198)
8792: (x,y)=(196.93,291.851)
8793: (x,y)=(193.585,288.135)
8794: (x,y)=(188.829,286.59)
8795: (x,y)=(189.612,291.528)
8796: (x,y)=(186.138,295.125)
8797: (x,y)=(182.423,298.471)
8798: (x,y)=(177.787,296.598)
8799: (x,y)=(178.396,301.561)
8800: (x,y)=(173.828,299.527)
8801: (x,y)=(177.714,296.38)
8802: (x,y)=(182.169,298.65)
8803: (x,y)=(185.247,302.59)
8804: (x,y)=(185.335,307.59)
8805: (x,y)=(189.38,310.528)
8806: (x,y)=(184.441,311.311)
8807: (x,y)=(189.434,311.049)
8808: (x,y)=(186.154,314.822)
8809: (x,y)=(184.776,319.629)
8810: (x,y)=(180.077,317.919)
8811: (x,y)=(175.747,315.419)
8812: (x,y)=(170.823,316.287)
8813: (x,y)=(167.167,312.877)
8814: (x,y)=(165.705,317.658)
8815: (x,y)=(160.875,316.364)
8816: (x,y)=(161.05,321.361)
8817: (x,y)=(157.164,318.215)
8818: (x,y)=(154.816,313.8)
8819: (x,y)=(149.844,314.323)
8820: (x,y)=(154.843,314.235)
8821: (x,y)=(158.057,318.066)
8822: (x,y)=(162.153,320.933)
8823: (x,y)=(159.074,316.993)
8824: (x,y)=(163.17,314.126)
8825: (x,y)=(161.708,318.907)
8826: (x,y)=(157.993,322.253)
8827: (x,y)=(159.202,317.401)
8828: (x,y)=(155.372,314.187)
8829: (x,y)=(150.421,314.883)
8830: (x,y)=(145.458,315.492)
8831: (x,y)=(147.412,320.095)
8832: (x,y)=(143.581,323.309)
8833: (x,y)=(139.925,319.899)
8834: (x,y)=(136.644,316.125)
8835: (x,y)=(131.863,314.664)
8836: (x,y)=(128.033,311.45)
8837: (x,y)=(125.685,315.864)
8838: (x,y)=(126.553,310.94)
8839: (x,y)=(131.405,312.15)
8840: (x,y)=(136.16,310.605)
8841: (x,y)=(136.683,315.577)
8842: (x,y)=(131.901,314.116)
8843: (x,y)=(135.498,310.642)
8844: (x,y)=(138.576,306.702)
8845: (x,y)=(142.862,309.277)
8846: (x,y)=(140.287,304.992)
8847: (x,y)=(136.242,302.053)
8848: (x,y)=(132.645,298.579)
8849: (x,y)=(137.452,299.958)
8850: (x,y)=(141.946,297.766)
8851: (x,y)=(146.939,298.027)
8852: (x,y)=(150.284,301.743)
8853: (x,y)=(152.238,297.141)
8854: (x,y)=(156.732,299.332)
8855: (x,y)=(152.129,297.379)
8856: (x,y)=(156.959,296.085)
8857: (x,y)=(152.108,294.875)
8858: (x,y)=(150.813,299.705)
8859: (x,y)=(150.204,294.742)
8860: (x,y)=(153.213,290.749)
8861: (x,y)=(155.005,286.081)
8862: (x,y)=(154.051,281.173)
8863: (x,y)=(156.919,285.269)
8864: (x,y)=(153.446,288.865)
8865: (x,y)=(151.818,293.593)
8866: (x,y)=(156.726,292.639)
8867: (x,y)=(153.717,296.632)
8868: (x,y)=(149.943,299.912)
8869: (x,y)=(146.47,303.509)
8870: (x,y)=(142.184,300.934)
8871: (x,y)=(138.411,297.653)
8872: (x,y)=(133.487,296.785)
8873: (x,y)=(133.574,301.784)
8874: (x,y)=(138.537,301.175)
8875: (x,y)=(141.947,297.518)
8876: (x,y)=(141.251,302.47)
8877: (x,y)=(145.581,304.97)
8878: (x,y)=(144.799,309.908)
8879: (x,y)=(147.223,314.281)
8880: (x,y)=(142.25,314.804)
8881: (x,y)=(143.96,310.105)
8882: (x,y)=(147.953,307.096)
8883: (x,y)=(144.673,303.323)
8884: (x,y)=(140.3,305.747)
8885: (x,y)=(137.577,309.94)
8886: (x,y)=(136.795,314.879)
8887: (x,y)=(133.138,318.289)
8888: (x,y)=(134.516,313.482)
8889: (x,y)=(138.29,310.202)
8890: (x,y)=(133.722,312.236)
8891: (x,y)=(130.575,316.121)
8892: (x,y)=(135.303,317.749)
8893: (x,y)=(131.83,321.346)
8894: (x,y)=(136.826,321.171)
8895: (x,y)=(136.304,316.199)
8896: (x,y)=(131.81,318.391)
8897: (x,y)=(136.225,316.043)
8898: (x,y)=(141.006,317.505)
8899: (x,y)=(136.225,318.967)
8900: (x,y)=(135.442,314.029)
8901: (x,y)=(130.443,314.116)
8902: (x,y)=(132.943,309.786)
8903: (x,y)=(134.153,304.934)
8904: (x,y)=(132.443,300.236)
8905: (x,y)=(128.347,303.104)
8906: (x,y)=(125.624,307.297)
8907: (x,y)=(125.275,302.309)
8908: (x,y)=(129.468,299.586)
8909: (x,y)=(134.224,298.041)
8910: (x,y)=(139.148,297.173)
8911: (x,y)=(134.545,295.219)
8912: (x,y)=(134.981,290.238)
8913: (x,y)=(137.849,286.142)
8914: (x,y)=(135.349,290.472)
8915: (x,y)=(133.236,285.941)
8916: (x,y)=(133.236,280.941)
8917: (x,y)=(136.245,276.948)
8918: (x,y)=(139.184,280.993)
8919: (x,y)=(136.534,285.233)
8920: (x,y)=(131.728,286.611)
8921: (x,y)=(136.716,286.262)
8922: (x,y)=(133.707,282.269)
8923: (x,y)=(135.417,277.571)
8924: (x,y)=(131.223,274.848)
8925: (x,y)=(133.096,270.212)
8926: (x,y)=(134.306,275.063)
8927: (x,y)=(137.963,271.653)
8928: (x,y)=(132.97,271.915)
8929: (x,y)=(128.14,273.209)
8930: (x,y)=(123.504,271.336)
8931: (x,y)=(118.632,270.211)
8932: (x,y)=(119.241,275.174)
8933: (x,y)=(115.585,271.764)
8934: (x,y)=(111.645,268.686)
8935: (x,y)=(116.596,267.99)
8936: (x,y)=(121.264,266.198)
8937: (x,y)=(125.309,263.259)
8938: (x,y)=(129.405,260.391)
8939: (x,y)=(124.649,258.846)
8940: (x,y)=(121.571,262.786)
8941: (x,y)=(117.077,260.594)
8942: (x,y)=(119.425,256.179)
8943: (x,y)=(116.211,260.01)
8944: (x,y)=(112.737,263.606)
8945: (x,y)=(113.173,268.587)
8946: (x,y)=(115.896,264.394)
8947: (x,y)=(115.114,269.332)
8948: (x,y)=(110.163,268.637)
8949: (x,y)=(115.144,269.072)
8950: (x,y)=(110.22,269.941)
8951: (x,y)=(115.201,270.376)
8952: (x,y)=(120.03,269.082)
8953: (x,y)=(115.122,268.128)
8954: (x,y)=(110.707,265.781)
8955: (x,y)=(115.701,266.043)
8956: (x,y)=(114.406,270.872)
8957: (x,y)=(113.282,275.744)
8958: (x,y)=(108.374,274.79)
8959: (x,y)=(112.147,271.51)
8960: (x,y)=(108.002,274.306)
8961: (x,y)=(112.638,276.179)
8962: (x,y)=(116.831,273.456)
8963: (x,y)=(119.023,277.949)
8964: (x,y)=(124.011,278.298)
8965: (x,y)=(126.124,282.83)
8966: (x,y)=(125.688,287.811)
8967: (x,y)=(130.356,286.019)
8968: (x,y)=(131.224,281.095)
8969: (x,y)=(136.221,281.269)
8970: (x,y)=(131.69,279.156)
8971: (x,y)=(134.629,283.201)
8972: (x,y)=(132.675,278.599)
8973: (x,y)=(128.039,280.472)
8974: (x,y)=(132.911,281.597)
8975: (x,y)=(128.039,280.472)
8976: (x,y)=(130.907,284.568)
8977: (x,y)=(133.254,288.982)
8978: (x,y)=(129.539,285.637)
8979: (x,y)=(126.065,289.233)
8980: (x,y)=(121.214,288.024)
8981: (x,y)=(125.995,289.486)
8982: (x,y)=(128.791,293.631)
8983: (x,y)=(126.142,297.871)
8984: (x,y)=(124.35,302.539)
8985: (x,y)=(121.7,306.779)
8986: (x,y)=(116.701,306.867)
8987: (x,y)=(117.911,302.015)
8988: (x,y)=(112.948,302.624)
8989: (x,y)=(109.734,298.794)
8990: (x,y)=(106.866,302.89)
8991: (x,y)=(102.98,306.037)
8992: (x,y)=(107.648,307.828)
8993: (x,y)=(112.251,305.875)
8994: (x,y)=(114.285,310.442)
8995: (x,y)=(114.546,305.449)
8996: (x,y)=(111.468,301.509)
8997: (x,y)=(111.555,306.508)
8998: (x,y)=(108.98,310.794)
8999: (x,y)=(109.589,305.832)
9000: (x,y)=(106.58,301.838)
9001: (x,y)=(111.035,304.108)
9002: (x,y)=(115.734,305.818)
9003: (x,y)=(113.78,310.421)
9004: (x,y)=(108.781,310.508)
9005: (x,y)=(105.501,306.735)
9006: (x,y)=(108.846,310.45)
9007: (x,y)=(104.391,312.72)
9008: (x,y)=(108.885,310.529)
9009: (x,y)=(112.482,307.055)
9010: (x,y)=(110.448,302.488)
9011: (x,y)=(111.826,297.681)
9012: (x,y)=(116.112,300.256)
9013: (x,y)=(119.392,296.483)
9014: (x,y)=(116.246,300.369)
9015: (x,y)=(111.916,297.869)
9016: (x,y)=(107.63,300.444)
9017: (x,y)=(105.438,304.938)
9018: (x,y)=(100.547,305.977)
9019: (x,y)=(101.757,301.126)
9020: (x,y)=(106.425,299.334)
9021: (x,y)=(107.887,304.116)
9022: (x,y)=(108.841,309.024)
9023: (x,y)=(105.762,312.964)
9024: (x,y)=(106.372,317.926)
9025: (x,y)=(102.962,321.583)
9026: (x,y)=(102.352,326.546)
9027: (x,y)=(97.3897,325.937)
9028: (x,y)=(101.275,329.083)
9029: (x,y)=(96.2876,329.432)
9030: (x,y)=(91.9145,327.008)
9031: (x,y)=(95.6302,323.662)
9032: (x,y)=(100.603,324.185)
9033: (x,y)=(95.7121,323.145)
9034: (x,y)=(95.3633,318.158)
9035: (x,y)=(91.3182,315.219)
9036: (x,y)=(91.9276,310.256)
9037: (x,y)=(95.5843,306.846)
9038: (x,y)=(97.9317,302.431)
9039: (x,y)=(94.3962,298.896)
9040: (x,y)=(89.4448,298.2)
9041: (x,y)=(88.2352,293.348)
9042: (x,y)=(86.857,288.542)
9043: (x,y)=(87.3797,293.515)
9044: (x,y)=(92.0476,291.723)
9045: (x,y)=(96.2409,289)
9046: (x,y)=(91.3025,289.782)
9047: (x,y)=(88.4346,293.877)
9048: (x,y)=(89.6442,298.729)
9049: (x,y)=(84.8379,300.107)
9050: (x,y)=(86.2998,304.889)
9051: (x,y)=(81.3484,304.193)
9052: (x,y)=(86.1999,302.983)
9053: (x,y)=(91.1512,302.287)
9054: (x,y)=(96.1391,301.939)
9055: (x,y)=(99.4847,305.654)
9056: (x,y)=(99.223,300.661)
9057: (x,y)=(100.263,295.77)
9058: (x,y)=(97.613,291.53)
9059: (x,y)=(92.7049,290.576)
9060: (x,y)=(97.5563,289.366)
9061: (x,y)=(100.635,293.307)
9062: (x,y)=(105.464,294.601)
9063: (x,y)=(109.837,297.025)
9064: (x,y)=(109.315,301.997)
9065: (x,y)=(114.096,300.535)
9066: (x,y)=(113.4,295.584)
9067: (x,y)=(108.619,297.046)
9068: (x,y)=(113.607,297.395)
9069: (x,y)=(109.321,299.97)
9070: (x,y)=(114.314,299.708)
9071: (x,y)=(116.964,303.948)
9072: (x,y)=(114.464,299.618)
9073: (x,y)=(118.294,302.832)
9074: (x,y)=(122.124,306.046)
9075: (x,y)=(124.92,310.191)
9076: (x,y)=(122.573,314.606)
9077: (x,y)=(123.269,319.557)
9078: (x,y)=(127.209,322.636)
9079: (x,y)=(122.878,320.136)
9080: (x,y)=(118.276,318.182)
9081: (x,y)=(121.873,314.709)
9082: (x,y)=(123.082,319.56)
9083: (x,y)=(120.359,323.754)
9084: (x,y)=(120.968,328.716)
9085: (x,y)=(116.139,327.422)
9086: (x,y)=(113.489,323.182)
9087: (x,y)=(110.693,327.327)
9088: (x,y)=(109.065,332.055)
9089: (x,y)=(105.919,328.169)
9090: (x,y)=(103.965,323.567)
9091: (x,y)=(104.574,318.604)
9092: (x,y)=(107.92,322.32)
9093: (x,y)=(112.25,324.82)
9094: (x,y)=(115.189,320.775)
9095: (x,y)=(110.192,320.949)
9096: (x,y)=(110.888,315.998)
9097: (x,y)=(115.851,315.388)
9098: (x,y)=(119.324,311.792)
9099: (x,y)=(123.517,314.515)
9100: (x,y)=(125.709,319.009)
9101: (x,y)=(129.245,322.544)
9102: (x,y)=(130.027,317.606)
9103: (x,y)=(126.253,320.886)
9104: (x,y)=(129.467,324.716)
9105: (x,y)=(126.187,320.943)
9106: (x,y)=(130.942,322.488)
9107: (x,y)=(135.545,320.534)
9108: (x,y)=(140.375,319.24)
9109: (x,y)=(135.523,320.45)
9110: (x,y)=(140.221,322.16)
9111: (x,y)=(135.891,319.66)
9112: (x,y)=(132.677,323.49)
9113: (x,y)=(133.113,318.509)
9114: (x,y)=(130.766,314.094)
9115: (x,y)=(126.621,316.89)
9116: (x,y)=(131.529,315.936)
9117: (x,y)=(136.023,318.128)
9118: (x,y)=(131.084,318.91)
9119: (x,y)=(135.975,319.95)
9120: (x,y)=(132.966,315.957)
9121: (x,y)=(128.211,314.412)
9122: (x,y)=(126.666,319.167)
9123: (x,y)=(131.364,317.457)
9124: (x,y)=(135.896,319.57)
9125: (x,y)=(135.896,314.57)
9126: (x,y)=(130.896,314.57)
9127: (x,y)=(126.402,312.378)
9128: (x,y)=(129.747,308.662)
9129: (x,y)=(127.323,313.035)
9130: (x,y)=(125.131,308.541)
9131: (x,y)=(121.721,304.885)
9132: (x,y)=(119.93,300.217)
9133: (x,y)=(115.1,301.511)
9134: (x,y)=(110.464,299.638)
9135: (x,y)=(115.192,298.01)
9136: (x,y)=(111.782,294.353)
9137: (x,y)=(116.022,291.704)
9138: (x,y)=(113.083,295.749)
9139: (x,y)=(112.56,290.776)
9140: (x,y)=(117.541,290.34)
9141: (x,y)=(120.62,286.4)
9142: (x,y)=(117.339,290.174)
9143: (x,y)=(122.327,290.523)
9144: (x,y)=(118.182,293.319)
9145: (x,y)=(115.035,297.204)
9146: (x,y)=(110.111,298.073)
9147: (x,y)=(109.589,293.1)
9148: (x,y)=(111.78,288.606)
9149: (x,y)=(110.153,293.334)
9150: (x,y)=(114.567,290.986)
9151: (x,y)=(109.716,289.777)
9152: (x,y)=(104.728,290.125)
9153: (x,y)=(106.438,294.824)
9154: (x,y)=(106.7,299.817)
9155: (x,y)=(105.832,294.893)
9156: (x,y)=(103.798,290.325)
9157: (x,y)=(106.807,294.318)
9158: (x,y)=(102.921,291.172)
9159: (x,y)=(105.644,295.365)
9160: (x,y)=(108.925,291.592)
9161: (x,y)=(111.648,287.398)
9162: (x,y)=(107.045,289.352)
9163: (x,y)=(111.613,291.386)
9164: (x,y)=(106.722,292.425)
9165: (x,y)=(101.725,292.251)
9166: (x,y)=(106.14,289.903)
9167: (x,y)=(109.97,286.689)
9168: (x,y)=(111.681,281.991)
9169: (x,y)=(109.105,277.705)
9170: (x,y)=(105.165,274.627)
9171: (x,y)=(101.885,270.853)
9172: (x,y)=(106.3,273.201)
9173: (x,y)=(106.038,278.194)
9174: (x,y)=(104.493,282.949)
9175: (x,y)=(107.361,278.853)
9176: (x,y)=(102.453,279.807)
9177: (x,y)=(106.783,282.307)
9178: (x,y)=(106.434,287.295)
9179: (x,y)=(106.783,292.283)
9180: (x,y)=(111.198,289.936)
9181: (x,y)=(107.367,286.722)
9182: (x,y)=(105.576,282.054)
9183: (x,y)=(100.973,280.1)
9184: (x,y)=(96.0649,281.054)
9185: (x,y)=(94.273,285.722)
9186: (x,y)=(98.8046,283.609)
9187: (x,y)=(93.8805,282.741)
9188: (x,y)=(90.9416,286.786)
9189: (x,y)=(95.5441,284.832)
9190: (x,y)=(100.495,285.528)
9191: (x,y)=(96.3503,288.324)
9192: (x,y)=(101.106,289.869)
9193: (x,y)=(96.324,291.331)
9194: (x,y)=(99.3331,295.324)
9195: (x,y)=(102.613,299.098)
9196: (x,y)=(106.21,295.624)
9197: (x,y)=(109.926,292.279)
9198: (x,y)=(106.152,288.998)
9199: (x,y)=(101.55,287.045)
9200: (x,y)=(99.7579,291.713)
9201: (x,y)=(98.2128,286.957)
9202: (x,y)=(102.499,289.533)
9203: (x,y)=(97.5177,289.968)
9204: (x,y)=(95.2477,294.423)
9205: (x,y)=(100.077,295.717)
9206: (x,y)=(98.2855,300.385)
9207: (x,y)=(93.8708,302.733)
9208: (x,y)=(90.6569,306.563)
9209: (x,y)=(87.4429,310.393)
9210: (x,y)=(84.647,314.538)
9211: (x,y)=(81.3013,310.823)
9212: (x,y)=(84.7746,307.226)
9213: (x,y)=(89.5561,305.764)
9214: (x,y)=(86.6172,301.719)
9215: (x,y)=(89.8311,305.549)
9216: (x,y)=(90.2669,310.53)
9217: (x,y)=(92.5369,306.075)
9218: (x,y)=(87.5741,305.466)
9219: (x,y)=(85.2268,301.051)
9220: (x,y)=(89.1125,297.904)
9221: (x,y)=(86.9207,302.398)
9222: (x,y)=(90.4562,298.863)
9223: (x,y)=(91.4957,293.972)
9224: (x,y)=(87.9602,290.437)
9225: (x,y)=(91.2405,294.21)
9226: (x,y)=(86.2892,294.906)
9227: (x,y)=(81.3507,294.124)
9228: (x,y)=(79.9725,289.318)
9229: (x,y)=(83.1865,285.487)
9230: (x,y)=(81.2328,280.885)
9231: (x,y)=(79.8546,276.078)
9232: (x,y)=(80.2904,271.098)
9233: (x,y)=(85.018,269.47)
9234: (x,y)=(86.2276,264.618)
9235: (x,y)=(91.0791,265.828)
9236: (x,y)=(89.4513,270.555)
9237: (x,y)=(87.9062,275.311)
9238: (x,y)=(91.9513,278.25)
9239: (x,y)=(87.8061,281.046)
9240: (x,y)=(88.8456,276.155)
9241: (x,y)=(90.1397,271.325)
9242: (x,y)=(92.7149,267.039)
9243: (x,y)=(87.9873,268.667)
9244: (x,y)=(88.249,263.674)
9245: (x,y)=(90.9722,259.481)
9246: (x,y)=(95.7275,257.936)
9247: (x,y)=(93.6144,253.404)
9248: (x,y)=(90.8912,257.597)
9249: (x,y)=(87.6109,253.824)
9250: (x,y)=(90.6892,249.884)
9251: (x,y)=(88.8974,254.552)
9252: (x,y)=(85.3007,251.078)
9253: (x,y)=(88.8974,254.552)
9254: (x,y)=(84.6571,257.201)
9255: (x,y)=(86.849,261.695)
9256: (x,y)=(89.9956,257.81)
9257: (x,y)=(94.9037,258.764)
9258: (x,y)=(98.3137,255.107)
9259: (x,y)=(96.2006,250.575)
9260: (x,y)=(94.0088,255.069)
9261: (x,y)=(93.66,260.057)
9262: (x,y)=(90.5817,263.997)
9263: (x,y)=(87.3677,267.827)
9264: (x,y)=(86.5856,262.889)
9265: (x,y)=(82.0178,264.923)
9266: (x,y)=(77.0794,265.705)
9267: (x,y)=(79.5034,261.332)
9268: (x,y)=(83.9182,263.679)
9269: (x,y)=(79.6323,261.104)
9270: (x,y)=(75.3465,258.529)
9271: (x,y)=(77.4596,253.997)
9272: (x,y)=(72.9281,256.11)
9273: (x,y)=(77.8908,256.72)
9274: (x,y)=(72.8976,256.981)
9275: (x,y)=(76.8377,260.06)
9276: (x,y)=(81.031,262.783)
9277: (x,y)=(76.2758,264.328)
9278: (x,y)=(80.4691,261.605)
9279: (x,y)=(84.0658,258.131)
9280: (x,y)=(80.2923,261.412)
9281: (x,y)=(83.1601,257.316)
9282: (x,y)=(78.5242,255.443)
9283: (x,y)=(74.1941,257.943)
9284: (x,y)=(70.9802,261.773)
9285: (x,y)=(71.4159,256.792)
9286: (x,y)=(73.4496,261.36)
9287: (x,y)=(73.3624,256.361)
9288: (x,y)=(77.4581,253.493)
9289: (x,y)=(74.9581,257.823)
9290: (x,y)=(69.9855,258.345)
9291: (x,y)=(74.8151,257.051)
9292: (x,y)=(70.1167,258.761)
9293: (x,y)=(65.3891,257.134)
9294: (x,y)=(69.8831,259.325)
9295: (x,y)=(74.4146,257.212)
9296: (x,y)=(75.7087,252.383)
9297: (x,y)=(76.5769,257.307)
9298: (x,y)=(72.2468,254.807)
9299: (x,y)=(71.2072,259.698)
9300: (x,y)=(74.864,263.108)
9301: (x,y)=(78.5208,266.518)
9302: (x,y)=(82.0563,262.982)
9303: (x,y)=(87.0533,262.807)
9304: (x,y)=(91.944,261.768)
9305: (x,y)=(92.8981,256.86)
9306: (x,y)=(95.0899,252.366)
9307: (x,y)=(98.0288,248.321)
9308: (x,y)=(101.564,244.785)
9309: (x,y)=(96.6403,245.653)
9310: (x,y)=(100.297,249.063)
9311: (x,y)=(101.842,244.308)
9312: (x,y)=(105.499,240.898)
9313: (x,y)=(101.005,238.706)
9314: (x,y)=(105.42,236.359)
9315: (x,y)=(108.143,232.166)
9316: (x,y)=(106.351,236.834)
9317: (x,y)=(107.219,241.758)
9318: (x,y)=(111.413,239.034)
9319: (x,y)=(116.219,240.413)
9320: (x,y)=(120.505,237.837)
9321: (x,y)=(118.081,242.21)
9322: (x,y)=(120.804,246.404)
9323: (x,y)=(115.816,246.055)
9324: (x,y)=(113.167,250.295)
9325: (x,y)=(111.872,245.466)
9326: (x,y)=(106.873,245.553)
9327: (x,y)=(109.373,249.883)
9328: (x,y)=(104.805,251.917)
9329: (x,y)=(99.8245,251.481)
9330: (x,y)=(99.8245,256.481)
9331: (x,y)=(97.1749,252.241)
9332: (x,y)=(92.2668,253.195)
9333: (x,y)=(90.8886,248.388)
